z85_decode_ctx_init,args:[%struct.base_decode_context*;],ret:void
z85_decode_ctx,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
xset_binary_mode,args:[i32;i32;],ret:void
do_decode,args:[%struct._IO_FILE*;i8*;%struct._IO_FILE*;i1;],ret:void
do_encode,args:[%struct._IO_FILE*;i8*;%struct._IO_FILE*;i64;],ret:void
base64_decode_ctx_init,args:[%struct.base64_decode_context*;],ret:void
init_inbuf,args:[%struct.base_decode_context*;],ret:void
prepare_inbuf,args:[%struct.base_decode_context*;i64;],ret:void
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
xnrealloc,args:[i8*;i64;i64;],ret:i8*
base32_decode_ctx_init,args:[%struct.base32_decode_context*;],ret:void
c_isalnum,args:[i32;],ret:i1
set_binary_mode,args:[i32;i32;],ret:i32
xset_binary_mode_error,args:[],ret:void
__gl_setmode,args:[i32;i32;],ret:i32
memmove.inline,args:[i8*;i8*;i64;],ret:i8*
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
write_error,args:[],ret:void
finish_and_exit,args:[%struct._IO_FILE*;i8*;],ret:void
wrap_write,args:[i8*;i64;i64;i64*;%struct._IO_FILE*;],ret:void
fputc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
usage,args:[i32;],ret:void
emit_stdin_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
io_blksize,args:[%struct.stat*;],ret:i64
xset_binary_mode,args:[i32;i32;],ret:void
copy_cat,args:[],ret:i32
simple_cat,args:[i8*;i64;],ret:i1
cat,args:[i8*;i64;i8*;i64;i1;i1;i1;i1;i1;i1;],ret:i1
alignfree,args:[i8*;],ret:void
write_error,args:[],ret:void
count_leading_zeros_ll,args:[i64;],ret:i32
set_binary_mode,args:[i32;i32;],ret:i32
xset_binary_mode_error,args:[],ret:void
__gl_setmode,args:[i32;i32;],ret:i32
is_ENOTSUP,args:[i32;],ret:i1
memmove.inline,args:[i8*;i8*;i64;],ret:i8*
write_pending,args:[i8*;i8**;],ret:void
next_line_num,args:[],ret:void
stpcpy.inline,args:[i8*;i8*;],ret:i8*
usage,args:[i32;],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
process_files,args:[i8**;i32;],ret:i1
process_file,args:[%struct.FTS*;%struct._ftsent*;],ret:i1
change_file_context,args:[i32;i8*;],ret:i32
compute_context_from_mask,args:[i8*;%struct.context_s_t**;],ret:i32
usage,args:[i32;],ret:void
emit_from_option_description,args:[i1;],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
stpcpy.inline,args:[i8*;i8*;],ret:i8*
chopt_init,args:[%struct.Chown_option*;],ret:void
chopt_free,args:[%struct.Chown_option*;],ret:void
gid_to_name,args:[i32;],ret:i8*
gid_to_str,args:[i32;],ret:i8*
uid_to_name,args:[i32;],ret:i8*
uid_to_str,args:[i32;],ret:i8*
chown_files,args:[i8**;i32;i32;i32;i32;i32;%struct.Chown_option*;],ret:i1
change_file_owner,args:[%struct.FTS*;%struct._ftsent*;i32;i32;i32;i32;%struct.Chown_option*;],ret:i1
lchownat,args:[i32;i8*;i32;i32;],ret:i32
restricted_chown,args:[i32;i8*;%struct.stat*;i32;i32;i32;i32;],ret:i32
chownat,args:[i32;i8*;i32;i32;],ret:i32
describe_change,args:[i8*;i32;i8*;i8*;i8*;i8*;],ret:void
psame_inode,args:[%struct.stat*;%struct.stat*;],ret:i1
user_group_str,args:[i8*;i8*;],ret:i8*
